iter	RMSE
0	0.146605708
1	0.146561484
2	0.1465523427
3	0.1465257446
4	0.1464883989
5	0.1464840347
6	0.146474087
7	0.1464719326
8	0.1464693828
9	0.1464670112
10	0.1464574353
11	0.1464502474
12	0.1454212708
13	0.1453750262
14	0.1453656756
15	0.1453272014
16	0.1443818212
17	0.1443312889
18	0.143425258
19	0.1434245019
20	0.143368104
21	0.1425254307
22	0.1424175459
23	0.1424115455
24	0.1423620551
25	0.1423606804
26	0.142347145
27	0.1423069952
28	0.1422576404
29	0.1422555367
30	0.1422396295
31	0.1422378122
32	0.1422319246
33	0.1421885538
34	0.142149799
35	0.1421068852
36	0.1412868812
37	0.1412700279
38	0.1404674947
39	0.1404490801
40	0.1396944077
41	0.139692534
42	0.1396680507
43	0.1389169422
44	0.1388975823
45	0.1388067992
46	0.1381823169
47	0.1381517818
48	0.1381427924
49	0.138129251
50	0.1381260632
51	0.138117686
52	0.1380888314
53	0.1374805369
54	0.1369238256
55	0.1369090856
56	0.1368955532
57	0.1368539411
58	0.1368502648
59	0.1368422565
60	0.1367853861
61	0.1361833705
62	0.1361830831
63	0.1361822509
64	0.136182167
65	0.1361722092
66	0.1361707721
67	0.1361679217
68	0.1361650054
69	0.1361390192
70	0.1356288198
71	0.1356166328
72	0.1350740026
73	0.1350618863
74	0.135056833
75	0.1350386587
76	0.1350357905
77	0.1350147991
78	0.1349930977
79	0.1349753197
80	0.1349667409
81	0.134474646
82	0.1344664658
83	0.1344585338
84	0.1344435054
85	0.1344419163
86	0.1343625242
87	0.1338819552
88	0.1338782095
89	0.1338745855
90	0.1338744515
91	0.1338715035
92	0.1338679219
93	0.1338655707
94	0.1338622448
95	0.1338488796
96	0.1338441034
97	0.1338235039
98	0.1336563915
99	0.1336513033
100	0.1336366661
101	0.13363666
102	0.1336359278
103	0.1336025655
104	0.1335941061
105	0.1335797129
106	0.1335739686
107	0.1335736817
108	0.1335717893
109	0.1335655197
110	0.1335558613
111	0.1335536267
112	0.1335330496
113	0.1335319382
114	0.1335254835
115	0.1335250316
116	0.1335246041
117	0.133524372
118	0.1335182773
119	0.1335182406
120	0.1335041447
121	0.1335041264
122	0.133502239
123	0.1334799313
124	0.1334775855
125	0.1330357006
126	0.1330335369
127	0.1326127279
128	0.1326113813
129	0.1322289723
130	0.13222896
131	0.1322211589
132	0.1322171256
133	0.1318470189
134	0.1318457016
135	0.1314737864
136	0.1314661514
137	0.1314660584
138	0.1314660336
139	0.1314494782
140	0.1314457128
141	0.1310894087
142	0.131085944
143	0.1310690855
144	0.1310661615
145	0.1310575197
146	0.130925346
147	0.1309246049
148	0.1309220264
149	0.1306108435
150	0.1306107062
151	0.1305915323
152	0.13058999
153	0.1302478546
154	0.1302424643
155	0.1302320523
156	0.1302294977
157	0.1302262355
158	0.1299377933
159	0.1299337268
160	0.1299323775
161	0.12992934
162	0.1299217712
163	0.1299206415
164	0.1299162732
165	0.129916066
166	0.1299137939
167	0.1298939522
168	0.1298883023
169	0.1296021406
170	0.1295997812
171	0.1295628118
172	0.1295594385
173	0.1295563734
174	0.1295430612
175	0.1295151734
176	0.1294967189
177	0.1292090589
178	0.129205651
179	0.1289145584
180	0.1289130404
181	0.1289126672
182	0.1289109467
183	0.1289106114
184	0.1289103837
185	0.1288951386
186	0.1288863639
187	0.1288455889
188	0.12884095
189	0.1288346969
190	0.1288180439
191	0.1288097071
192	0.1288075864
193	0.1288067002
194	0.1286840516
195	0.1286791343
196	0.1284364985
197	0.1284347716
198	0.1284341177
199	0.1284290766
200	0.1284272671
201	0.1284270766
202	0.1284238067
203	0.128417019
204	0.1283554438
