iter	Passed	Remaining
0	148	371721
1	195	244190
2	251	209057
3	384	239655
4	506	252614
5	548	228153
6	604	215207
7	644	200825
8	674	186728
9	705	175620
10	747	169102
11	866	179634
12	1014	194021
13	1046	185739
14	1173	194406
15	1297	201449
16	1445	211108
17	1525	210305
18	1667	217690
19	1702	211093
20	1783	210596
21	1919	216245
22	1983	213613
23	2108	217531
24	2166	214443
25	2209	210262
26	2239	205120
27	2297	202841
28	2334	198918
29	2372	195317
30	2416	192450
31	2456	189479
32	2484	185722
33	2510	182119
34	2646	186376
35	2726	186621
36	2870	191073
37	2951	191196
38	3092	195139
39	3220	198088
40	3364	201795
41	3396	198755
42	3526	201502
43	3682	205523
44	3726	203308
45	3858	205863
46	3997	208612
47	4042	206490
48	4081	204173
49	4136	202699
50	4262	204695
51	4321	203458
52	4445	205229
53	4536	205480
54	4678	207963
55	4731	206476
56	4765	204242
57	4894	206061
58	4937	204276
59	4992	203031
60	5084	203299
61	5226	205530
62	5253	203224
63	5282	201051
64	5313	199042
65	5344	197105
66	5389	195713
67	5422	193930
68	5477	192998
69	5604	194543
70	5743	196482
71	5865	197807
72	6015	199987
73	6058	198627
74	6093	197026
75	6122	195261
76	6176	194364
77	6231	193493
78	6292	192851
79	6323	191278
80	6450	192647
81	6592	194390
82	6648	193602
83	6677	192066
84	6808	193446
85	6842	192074
86	6966	193215
87	7103	194706
88	7134	193274
89	7179	192254
90	7212	190935
91	7245	189653
92	7305	189082
93	7341	187920
94	7473	189207
95	7531	188599
96	7666	189923
97	7703	188820
98	7843	190217
99	7977	191450
100	8011	190288
101	8040	189027
102	8071	187827
103	8136	187450
104	8189	186800
105	8224	185759
106	8258	184695
107	8291	183633
108	8349	183145
109	8395	182410
110	8443	181721
111	8473	180676
112	8521	180011
113	8552	178992
114	8582	178000
115	8625	177276
116	8652	176239
117	8682	175271
118	8745	174985
119	8790	174348
120	8858	174158
121	8886	173212
122	8931	172606
123	9076	173924
124	9206	174928
125	9355	176262
126	9483	177198
127	9636	178576
128	9765	179484
129	9918	180823
130	9949	179919
131	9986	179145
132	10073	179277
133	10223	180510
134	10304	180520
135	10463	181878
136	10498	181074
137	10526	180164
138	10552	179241
139	10591	178537
140	10722	179398
141	10883	180726
142	10941	180338
143	10975	179567
144	11111	180472
145	11171	180125
146	11331	181385
147	11368	180660
148	11499	181447
149	11657	182632
150	11690	181867
151	11837	182853
152	11921	182876
153	12073	183922
154	12106	183165
155	12253	184120
156	12285	183345
157	12419	184091
158	12573	185121
159	12601	184302
160	12660	183924
161	12690	183153
162	12828	183921
163	12886	183547
164	12921	182865
165	12962	182251
166	12994	181538
167	13123	182161
168	13203	182108
169	13345	182906
170	13381	182257
171	13442	181939
172	13494	181507
173	13539	180993
174	13583	180470
175	13630	179981
176	13709	179926
177	13858	180783
178	13936	180706
179	14085	181550
180	14141	181177
181	14196	180804
182	14230	180171
183	14260	179501
184	14288	178802
185	14331	178294
186	14373	177789
187	14441	177601
188	14471	176948
189	14499	176279
190	14528	175631
191	14558	175000
192	14613	174686
193	14645	174084
194	14812	175096
195	14933	175546
196	15075	176242
197	15202	176751
198	15243	176258
199	15274	175653
200	15333	175379
201	15363	174778
202	15395	174201
203	15452	173921
204	15499	173522
205	15530	172947
206	15655	173417
207	15711	173126
208	15741	172554
209	15863	172983
210	16005	173634
211	16041	173124
212	16083	172688
213	16118	172183
214	16148	171629
215	16228	171601
216	16370	172231
217	16492	172644
218	16637	173289
219	16715	173233
220	16859	173859
221	16896	173374
222	16923	172804
223	16958	172306
224	17093	172837
225	17224	173309
226	17268	172914
227	17399	173380
228	17453	173083
229	17510	172821
230	17554	172429
231	17582	171880
232	17708	172301
233	17839	172751
234	17881	172349
235	17913	171848
236	17957	171464
237	18001	171090
238	18031	170580
239	18078	170241
240	18110	169762
241	18155	169399
242	18293	169908
243	18452	170613
244	18538	170633
245	18689	171241
246	18736	170905
247	18768	170427
248	18905	170908
249	18938	170442
250	18973	170003
251	19002	169515
252	19090	169546
253	19240	170134
254	19376	170587
255	19418	170214
256	19447	169729
257	19495	169417
258	19627	169829
259	19786	170470
260	19920	170888
261	20079	171516
262	20212	171924
263	20340	172281
264	20497	172873
265	20535	172470
266	20570	172038
267	20599	171559
268	20767	172236
269	20803	171817
270	20849	171492
271	20887	171093
272	20923	170683
273	21059	171087
274	21215	171656
275	21272	171415
276	21329	171173
277	21375	170847
278	21402	170376
279	21441	170002
280	21489	169699
281	21636	170179
282	21793	170731
283	21856	170543
284	22012	171083
285	22052	170717
286	22082	170273
287	22154	170156
288	22211	169929
289	22241	169498
290	22277	169108
291	22318	168763
292	22362	168442
293	22392	168017
294	22426	167630
295	22458	167222
296	22592	167583
297	22672	167535
298	22821	167990
299	22856	167616
300	23001	168041
301	23080	167982
302	23223	168391
303	23269	168093
304	23305	167722
305	23338	167333
306	23423	167323
307	23563	167697
308	23602	167354
309	23730	167645
310	23884	168110
311	23927	167797
312	24007	167744
313	24160	168196
314	24195	167830
315	24321	168092
316	24399	168025
317	24553	168474
318	24681	168748
319	24716	168384
320	24757	168061
321	24889	168350
322	25037	168751
323	25093	168528
324	25129	168173
325	25265	168490
326	25302	168141
327	25351	167874
328	25383	167500
329	25427	167202
330	25489	167030
331	25531	166721
332	25657	166968
333	25810	167382
334	25853	167081
335	25908	166862
336	26051	167207
337	26131	167149
338	26280	167527
339	26324	167240
340	26371	166966
341	26401	166592
342	26537	166885
343	26662	167108
344	26808	167455
345	26936	167692
346	26972	167354
347	27050	167280
348	27212	167719
349	27260	167455
350	27319	167265
351	27357	166941
352	27414	166737
353	27450	166411
354	27478	166030
355	27559	165974
356	27714	166363
357	27843	166593
358	27920	166514
359	28078	166910
360	28155	166827
361	28308	167195
362	28344	166867
363	28475	167098
364	28530	166882
365	28653	167069
366	28776	167248
367	28928	167597
368	28960	167246
369	29004	166972
370	29146	167258
371	29203	167056
372	29236	166720
373	29265	166358
374	29292	165990
375	29336	165719
376	29385	165477
377	29416	165134
378	29453	164829
379	29538	164796
380	29691	165137
381	29771	165066
382	29914	165349
383	30042	165548
384	30170	165741
385	30254	165691
386	30403	165999
387	30458	165796
388	30502	165527
389	30564	165361
390	30696	165570
391	30848	165890
392	30980	166096
393	31103	166254
394	31249	166534
395	31380	166729
396	31417	166423
397	31444	166072
398	31481	165768
399	31506	165411
400	31639	165616
